申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段
買賣,房地(土地+建物),1,1,,4,2,2,Y,住宅大樓(11F含以上有電梯),4600000,,,,Y,1100307,,1,5,12,其他:第四種商業區,,,153.61,,鋼筋混凝土造,12,710226,39,九層,,,河西路103號9樓之1,鹽埕區,府北段五小段
買賣,房地(土地+建物)+車位,1,1,1,2,2,2,Y,住宅大樓(11F含以上有電梯),7980000,,,650000,Y,1091230,,1,29,8.94,其他:第五種商業區,,,125.5,見其它登記事項,見其它登記事項,15,1090515,1,四層,650000,5.54,大公路101號四樓之6,鹽埕區,興仁段
買賣,房地(土地+建物),8,2,,3,1,2,Y,公寓(5F含以下無電梯),4000000,,,,N,1100125,附裝潢,1,34,33.07,其他:第四種住宅區,,,89.64,,鋼筋混凝土造,5,660910,43,二層,,,光榮街10巷10之2號,鹽埕區,大榮段
買賣,房地(土地+建物),1,1,,2,1,1,Y,住宅大樓(11F含以上有電梯),5390000,,,,Y,1100315,,1,36,5.97,其他:第五種商業區,,,73.91,見其它登記事項,見其它登記事項,15,1070329,3,四層,,,大義街115號四樓之2,鹽埕區,大智段
買賣,房地(土地+建物)+車位,1,1,1,4,2,2,Y,住宅大樓(11F含以上有電梯),10800000,,,,Y,1100318,,1,30,18.21,其他:第三種商業區,,,190.33,住家用,鋼筋混凝土造,15,960103,14,二層,0,16.56,七賢三路1號二樓,鹽埕區,興福段
買賣,房地(土地+建物),1,1,,3,2,2,Y,公寓(5F含以下無電梯),2000000,,,,N,1100318,,1,31,25.1,其他:第四種商業區,,,90.66,,鋼筋混凝土造,5,690205,41,五層,,,大安街130號5樓之1,鹽埕區,興橋段
買賣,房地(土地+建物)+車位,1,1,1,2,2,2,Y,住宅大樓(11F含以上有電梯),9150000,,,1300000,Y,1100128,,1,29,8.6,其他:第五種商業區,,,131.78,見其它登記事項,見其它登記事項,15,1090515,1,九層,1300000,16.41,大公路101號九樓之3,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,0,2,1,Y,住宅大樓(11F含以上有電梯),5380000,,,650000,Y,1100120,,1,29,5.22,其他:第五種商業區,,,75.96,見其它登記事項,見其它登記事項,15,1090515,1,十五層,650000,5.54,大公路99號十五樓之2,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,2,2,2,Y,住宅大樓(11F含以上有電梯),9000000,,,750000,Y,1100219,,1,29,8.6,其他:第五種商業區,,,120.91,見其它登記事項,見其它登記事項,15,1090515,1,五層,750000,5.54,大公路101號五樓之3,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,Y,住宅大樓(11F含以上有電梯),5900000,,,800000,Y,1100128,,1,32,16.61,其他:第三種商業區,,,133.32,住家用,鋼筋混凝土造,12,871208,22,十二層,800000,9.25,堀江街31號十二樓之2,鹽埕區,大東段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),640000,,,,Y,1100313,,1,5,4.17,其他:第四種商業區,,,48.15,,鋼筋混凝土造,12,690618,41,十二層,,,府北路36號12樓之7,鹽埕區,府北段五小段
買賣,房地(土地+建物),2,1,,5,2,3,Y,透天厝,10800000,,,,N,1100314,,1,32,51,其他:市場用地,,,143.46,住商用,加強磚造,3,550312,55,一層;二層;三層;騎樓,,,必信街53號,鹽埕區,大東段
買賣,房地(土地+建物),3,1,,1,0,1,Y,住宅大樓(11F含以上有電梯),1400000,,,,Y,1100303,套房,1,5,4.24,其他:第五種商業區,,,38.68,,鋼筋混凝土造,12,681218,41,五層,,,府北路1號5樓之4,鹽埕區,府北段五小段
買賣,房地(土地+建物),4,1,,3,2,2,Y,住宅大樓(11F含以上有電梯),6180000,,,,Y,1100304,裝潢費;全新整修,1,33,10.84,其他:第四種商業區,,,103.36,,鋼筋混凝土造,12,721230,37,十二層,,,必忠街171號12樓之2,鹽埕區,大勇段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),1320000,,,,Y,1100402,,1,37,3.26,其他:第五種商業區,,,34.61,,鋼筋混凝土造,12,720523,38,十一層,,,莒光街219號11樓之10,鹽埕區,鹽新段
