申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明,登記日期
買賣,房地(土地+建物)+車位,1,1,1,2,2,2,有,住宅大樓(11層含以上有電梯),"8,550,000",,,,有,1101111,"以固定物交付,冷氣一臺",1,興仁段,8.6,第五種商業區,,,120.91,見其他登記事項,見其他登記事項,15,1090515,1,三層;,0,5.54,大公路101號三樓之3,鹽埕區,興仁段,3910000,1085000,,1110103
買賣,房地(土地+建物),4,1,,3,2,2,有,住宅大樓(11層含以上有電梯),"5,300,000",,,,有,1101218,,1,大勇段,13.11,第四種商業區,,,126.11,無建物主要用途資料,鋼筋混凝土造,12,721230,38,十層;,,,必忠街171號10樓之11,鹽埕區,大勇段,1620000,71000,,1110103
買賣,房地(土地+建物),1,1,,,,,無,住宅大樓(11層含以上有電梯),"1,000,000",,,,有,1101110,,1,府北段五小段,134.9,第五種商業區,,,1450.83,無建物主要用途資料,鋼筋混凝土造,12,701124,40,地下二層;,,,大有街11號2底層地下室,鹽埕區,府北段五小段,2210000,1316000,0201.親友、員工、共有人或其他特殊關係間之交易,1110103
買賣,房地(土地+建物)+車位,1,1,2,3,2,3,有,住宅大樓(11層含以上有電梯),"31,000,000",,,"4,800,000",有,1100914,,2,青海段,19.04,特定第四種商業區,,,332.24,見其他登記事項,見其他登記事項,29,1071018,3,十八層;,"4,800,000",36.84,明誠四路35號十八樓,鼓山區,青海段,2120000,14591000,,1110103
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"19,090,000",,,,有,1101120,,2,龍北段,14.74,第五種住宅區,,,189.45,見其他登記事項,見其他登記事項,15,1100430,1,八層;,0,42.94,明華路362號八樓,鼓山區,龍北段,190000,640000,,1110103
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"18,130,000",,,,有,1101029,,2,青海段,18.85,特定第五種住宅區,,,199.83,住家用,鋼筋混凝土造,15,1030515,7,十一層;,0,18.68,龍水二路27號十一樓,鼓山區,青海段,4300000,12630000,,1110103
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"12,580,000",,,,有,1101202,,2,龍華段八小段,14.28,第四種商業區,,,174.77,住家用,鋼筋混凝土造,15,981230,12,十三層;,0,16.72,明倫路152號十三樓,鼓山區,龍華段八小段,22200000,10707000,,1110103
買賣,房地(土地+建物),1,1,,2,2,1,有,住宅大樓(11層含以上有電梯),"7,600,000",,,,有,1101118,,2,青海段,11.18,特定第五種住宅區,,,101.85,住家用,鋼筋混凝土造,15,1011107,9,十層;,,,美術東八街108號十樓,鼓山區,青海段,6350000,11416000,0101.裝潢費0102.傢俱設備費,1110103
買賣,房地(土地+建物)+車位,1,1,1,2,1,1,有,住宅大樓(11層含以上有電梯),"7,200,000",,,,有,1101112,,2,龍中段,9.43,第四種商業區,,,91.4,住家用,鋼筋混凝土造,15,950809,15,七層;,0,37.24,龍勝路152號七樓,鼓山區,龍中段,870000,4047000,,1110103
買賣,房地(土地+建物),1,1,,2,2,1,有,住宅大樓(11層含以上有電梯),"7,000,000",,,,有,111125,,2,龍華段八小段,8,第四種商業區,,,88.45,住家用,鋼筋混凝土造,15,960131,0,六層;,,,明倫路161號六樓,鼓山區,龍華段八小段,22560000,10548000,0101.裝潢費0102.傢俱設備費,1110103
買賣,房地(土地+建物),1,1,,2,1,1,有,住宅大樓(11層含以上有電梯),"6,750,000",,,,有,1101024,,2,龍中段,7.91,第四種商業區,,,74.67,住家用,鋼筋混凝土造,15,940929,16,十四層;,,,富農路112號十四樓,鼓山區,龍中段,630000,2120000,,1110103
買賣,房地(土地+建物),2,1,,2,2,1,有,住宅大樓(11層含以上有電梯),"5,900,000",,,,有,1101204,,2,青海段,12.69,特定第五種住宅區,,,85.98,住家用,鋼筋混凝土造,15,951013,15,十層;,,,美術東四路222號十樓,鼓山區,青海段,6150000,7268000,0102.傢俱設備費,1110103
買賣,土地,2,0,,,,,有,,"726,000",,,,無,1101217,,2,前峰段,29.33,-,,,,無建物主要用途資料,無建物主要建材,,,,,,,前峰段 527-1 地號,鼓山區,前峰段,5270001,,0604.(包含)公共設施保留地(用地),1110103
買賣,房地(土地+建物)+車位,1,1,2,4,2,3,有,住宅大樓(11層含以上有電梯),"34,400,000",,,,有,1101122,,3,新博段,36.09,第五種住宅區,,,426.14,住家用,見其他登記事項,28,1030704,7,六層;,0,44.56,新榮街87號六樓,左營區,新博段,130000,271000,,1110103
買賣,房地(土地+建物)+車位,1,1,2,4,2,2,有,住宅大樓(11層含以上有電梯),"29,900,000",,,"4,500,000",有,1101107,,3,新光段,15.56,第四種商業區,,,281.36,見其他登記事項,見其他登記事項,29,1071225,3,十二層;,0,47.28,文萊路308號十二樓之3,左營區,新光段,3560000,5966000,,1110103
買賣,房地(土地+建物)+車位,1,1,2,3,2,2,有,住宅大樓(11層含以上有電梯),"27,800,000",,,,有,1101119,,3,新民段,22.01,第五種住宅區,,,269.87,見其他登記事項,見其他登記事項,28,1040810,6,十四層;,0,59.24,博愛三路390號十四樓,左營區,新民段,750000,6362000,,1110103
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"12,730,000",,,"1,200,000",有,1101123,,3,新福段九小段,9.44,第四種商業區,,,135.78,住家用,鋼筋混凝土造,15,1011004,9,七層;,"1,200,000",12.5,重化街22號七樓,左營區,新福段九小段,60000,318000,,1110103
買賣,房地(土地+建物)+車位,1,1,1,2,2,1,有,住宅大樓(11層含以上有電梯),"10,300,000",,,,有,1101121,,3,新民段,9.04,第四種商業區,,,103.28,見其他登記事項,見其他登記事項,15,1080718,2,十三層;,0,15.79,文自路325號十三樓之5,左營區,新民段,1690000,6645000,,1110103
買賣,房地(土地+建物),1,1,,3,2,2,有,住宅大樓(11層含以上有電梯),"9,800,000",,,,有,1101116,,3,福山段,11.41,第五種住宅區,,,111.87,見其他登記事項,見其他登記事項,15,1080806,2,八層;,,,文學路611巷52號八樓之3,左營區,福山段,140000,8496000,,1110103
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"9,380,000",,,,有,1101116,,3,菜公段六小段,12.01,第五種住宅區,,,125.98,住家用,鋼筋混凝土造,14,960808,14,十二層;,0,16.06,民族一路1118號十二樓,左營區,菜公段六小段,10010000,5117000,0102.傢俱設備費0301.陽台外推,1110103
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"9,200,000",,,,有,1101104,,3,新庄段八小段,15.11,第五種住宅區,,,197.57,住家用,鋼筋混凝土造,20,801219,30,三層;,0,0,大順一路316號三樓,左營區,新庄段八小段,1040004,447000,,1110103
買賣,房地(土地+建物),1,1,,2,1,1,有,住宅大樓(11層含以上有電梯),"7,600,000",,,,有,1101210,,3,新庄段十三小段,3.88,第五種商業區,,,71.19,見其他登記事項,見其他登記事項,28,1100317,1,二十層;,,,博愛二路322號二十樓之6,左營區,新庄段十三小段,15380000,6425000,,1110103
買賣,房地(土地+建物)+車位,1,1,1,2,1,1,有,住宅大樓(11層含以上有電梯),"7,200,000",,,,有,1101120,"已折讓價金12萬元,不負一般瑕疵擔保",3,新庄段六小段,8.51,第五種住宅區,,,112.88,住家用,鋼筋混凝土造,27,830811,27,三層;,0,40.2,新莊一路133號三樓之1,左營區,新庄段六小段,9130000,1177000,,1110103
買賣,房地(土地+建物),1,1,,3,2,2,有,住宅大樓(11層含以上有電梯),"6,900,000",,,,有,1101201,,3,福山段,10.54,第四種商業區,,,111.11,住家用,鋼筋混凝土造,15,941012,16,二層;,,,重平路17號二樓之1,左營區,福山段,4740000,6081000,,1110103
買賣,房地(土地+建物),1,1,,3,2,2,有,住宅大樓(11層含以上有電梯),"6,800,000",,,,有,1101114,,3,果貿段,23.81,特定住宅區,,,157.01,住家用,見其他登記事項,16,880303,23,五層;,,,翠華路601巷34號五樓,左營區,果貿段,20005,3187000,,1110103
買賣,房地(土地+建物),1,1,,2,2,1,有,住宅大樓(11層含以上有電梯),"6,520,000",,,,有,1101128,,3,新庄段十三小段,6.53,第四種商業區,,,86.06,住家用,鋼筋混凝土造,15,1020808,8,三層;,,,明華一路150號三樓之2,左營區,新庄段十三小段,14910000,5795000,0301.陽台外推,1110103
