申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明,備註欄
1120825,房地(土地+建物),1,1,,4,2,5,有,透天厝,"66,000,000",,,,無,1120714,92.45,其他-第四種住宅區,,,462.26,見其他登記事項,鋼筋混凝土造,005,1120314,0,一層;二層;三層;四層;五層;屋頂突出物;騎樓;見其它登記事項;,,,高雄市鹽埕區大義街７５號,鹽埕區,大成段,07720001,01122000,,土地價款1980萬元整，建物價款4620萬元整
1120607,房地(土地+建物),1,1,,4,2,5,有,透天厝,"57,000,000",,,,無,1120604,89.05,其他-第四種住宅區,,,458.67,見其他登記事項,鋼筋混凝土造,005,1120314,0,一層;二層;三層;四層;五層;屋頂突出物;見其它登記事項;,,,高雄市鹽埕區大義街７７號,鹽埕區,大成段,07720002,01123000,,土地售價1710萬元整，建物售價3990萬元整。
1120724,房地(土地+建物)+車位,1,1,2,,,,無,住宅大樓(11層含以上有電梯),"39,410,000",,,"4,800,000",有,1090627,23.52,其他-第四種商業區,,,395.10,見其他登記事項,見其他登記事項,029,1120418,0,一層;見其它登記事項;,"4,800,000",69.18,高雄市鹽埕區興華街１３號,鹽埕區,鹽府段,01960000,00465000,0901.預售屋、或土地及建物分件登記案件,
1120721,房地(土地+建物),1,5,,30,1,30,有,華廈(10層含以下有電梯),"35,000,000",,,,無,1120209,102.00,其他-第五種商業區,,,471.05,住商用,鋼筋混凝土造,005,0780310,34,一層;騎樓;夾層;,,,高雄市鹽埕區七賢三路２６４號,鹽埕區,鹽府段,00860000,00209000,0301.陽台外推0302.頂樓加蓋0304.其他增建0504.含租約,地下室、平台外推、頂樓加蓋、六樓至九樓增建、遮雨棚增建、露台增建
1120713,房地(土地+建物),1,1,,,,,無,住宅大樓(11層含以上有電梯),"32,380,000",,,,有,1120613,37.22,其他-第五種商業區,,,442.92,商業用,鋼筋混凝土造,014,0840225,28,一層;二層;騎樓;,,,高雄市鹽埕區大仁路１號,鹽埕區,大智段,01500000,02250000,,
1120601,房地(土地+建物)+車位,1,1,2,4,2,2,有,住宅大樓(11層含以上有電梯),"28,900,000",,,"4,200,000",有,1101120,17.45,其他-第四種商業區,,,303.46,見其他登記事項,見其他登記事項,029,1120418,0,二十一層;,"4,200,000",55.66,高雄市鹽埕區七賢二路４６０號二十一樓之５,鹽埕區,鹽府段,01960000,00564000,0901.預售屋、或土地及建物分件登記案件,
1120703,房地(土地+建物)+車位,1,1,3,4,2,2,有,住宅大樓(11層含以上有電梯),"28,180,000",,,"6,600,000",有,1100316,17.45,其他-第四種商業區,,,331.29,見其他登記事項,見其他登記事項,029,1120418,0,二十五層;,"6,600,000",83.49,高雄市鹽埕區七賢二路４６０號二十五樓之５,鹽埕區,鹽府段,01960000,00568000,0901.預售屋、或土地及建物分件登記案件,
1120608,房地(土地+建物)+車位,1,1,2,4,2,2,有,住宅大樓(11層含以上有電梯),"27,500,000",,,"4,400,000",有,1100914,17.45,其他-第四種商業區,,,303.46,見其他登記事項,見其他登記事項,029,1120418,0,二十三層;,"4,400,000",55.66,高雄市鹽埕區七賢二路４６０號二十三樓之５,鹽埕區,鹽府段,01960000,00566000,0901.預售屋、或土地及建物分件登記案件,
1120804,房地(土地+建物)+車位,1,1,2,4,2,2,有,住宅大樓(11層含以上有電梯),"26,000,000",,,"3,950,000",有,1100407,17.45,其他-第四種商業區,,,301.35,見其他登記事項,見其他登記事項,029,1120418,0,二十六層;,"3,950,000",53.55,高雄市鹽埕區七賢二路４６０號二十六樓之５,鹽埕區,鹽府段,01960000,00569000,0901.預售屋、或土地及建物分件登記案件,
1120608,房地(土地+建物)+車位,1,1,1,4,2,2,有,住宅大樓(11層含以上有電梯),"25,700,000",,,"2,200,000",有,1100906,17.45,其他-第四種商業區,,,275.63,見其他登記事項,見其他登記事項,029,1120418,0,二十七層;,"2,200,000",27.83,高雄市鹽埕區七賢二路４６０號二十七樓之５,鹽埕區,鹽府段,01960000,00570000,0901.預售屋、或土地及建物分件登記案件,
