申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段
買賣,土地,2,0,,,,,Y,,4000000,,,,N,1091012,,1,30,47,其他:第四種住宅區,,,,,,,,,,,,興福段594-0地號,鹽埕區,興福段
買賣,房地(土地+建物),1,1,,3,2,2,Y,透天厝,10100000,,,,N,1091105,,1,32,63,其他:第三種商業區,,,127.44,住商用,加強磚造,2,510130,59,一層;二層;騎樓,,,必信街112之1號,鹽埕區,大東段
買賣,房地(土地+建物)+車位,1,1,1,3,1,2,Y,住宅大樓(11F含以上有電梯),5200000,,,,Y,1091207,,1,42,11.51,其他:第四種商業區,,,133.73,住家用,鋼筋混凝土造,14,871027,22,七層,0,18.24,北端街72之2號七樓,鹽埕區,鹽北段
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,Y,住宅大樓(11F含以上有電梯),14750000,,,,Y,1091116,,1,29,17.84,其他:第四種商業區,,,213.33,見其它登記事項,見其它登記事項,15,1070830,2,四層,0,19.11,建國四路158號四樓之7,鹽埕區,興仁段
買賣,房地(土地+建物),3,2,,3,2,2,Y,住宅大樓(11F含以上有電梯),3800000,,,,Y,1091203,,1,30,11.59,其他:第五種商業區,,,86.43,,鋼筋混凝土造,12,711210,38,十層,,,五福四路263號10樓之12,鹽埕區,興福段
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,Y,住宅大樓(11F含以上有電梯),16600000,,,,Y,1091213,,1,29,17.37,其他:第四種商業區,,,208.04,見其它登記事項,見其它登記事項,15,1070830,2,八層,0,19.11,建國四路158號八樓之6,鹽埕區,興仁段
買賣,房地(土地+建物),1,1,,1,0,1,Y,住宅大樓(11F含以上有電梯),800000,,,,Y,1091212,,1,5,2.82,其他:第五種商業區,,,35.26,,鋼筋混凝土造,12,701124,39,十一層,,,府北路25號11樓之16,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,4,2,2,Y,住宅大樓(11F含以上有電梯),6200000,,,,Y,1091219,,1,42,15.22,其他:第四種商業區,,,152.58,住家用,鋼筋混凝土造,14,871027,22,十四層,,,北斗街42號十四樓之2,鹽埕區,鹽北段
買賣,建物,0,2,,2,1,2,Y,住宅大樓(11F含以上有電梯),1320000,,,,Y,1091224,,1,41,,,,,71.91,,鋼筋混凝土造,16,750217,35,九層,,,北斗街5號9樓之37,鹽埕區,鹽壽段
買賣,建物,0,1,,1,0,1,Y,住宅大樓(11F含以上有電梯),750000,,,,Y,1091219,,1,41,,,,,35.95,,鋼筋混凝土造,16,750217,35,七層,,,北斗街5號7樓之38,鹽埕區,鹽壽段
