申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明,登記日期
買賣,房地(土地+建物)+車位,1,1,2,,,,無,住宅大樓(11層含以上有電梯),"26,500,000",,,,有,1100226,毛胚屋,2,青海段,31.44,特定第五種住宅區,,,383.5,見其他登記事項,見其他登記事項,29,1050826,5,二十八層;,0,44.92,馬卡道路387號二十八樓,鼓山區,青海段,1140000,13875000,,1100701
買賣,房地(土地+建物)+車位,1,1,2,,,,無,住宅大樓(11層含以上有電梯),"25,650,000",,,,有,1100305,毛胚屋,2,青海段,31.44,特定第五種住宅區,,,383.41,見其他登記事項,見其他登記事項,29,1050826,5,二十四層;,0,44.92,馬卡道路387號二十四樓,鼓山區,青海段,1140000,13871000,,1100701
買賣,房地(土地+建物)+車位,1,1,2,4,2,2,有,住宅大樓(11層含以上有電梯),"21,000,000",,,"3,000,000",有,1100320,,2,青海段,14.28,特定第四種商業區,,,250.21,見其他登記事項,見其他登記事項,29,1071018,2,三層;,"3,000,000",29.37,明誠四路25號三樓之2,鼓山區,青海段,2120000,14444000,,1100701
買賣,房地(土地+建物)+車位,1,1,2,1,2,2,有,住宅大樓(11層含以上有電梯),"17,500,000",,,"3,000,000",有,1100324,,2,青海段,11.27,特定第四種商業區,,,197.78,見其他登記事項,見其他登記事項,29,1071018,2,五層;,"3,000,000",29.37,明誠四路25號五樓之1,鼓山區,青海段,2120000,14419000,,1100701
買賣,房地(土地+建物),1,1,,4,2,3,有,透天厝,"12,200,000",,,,無,1100515,後方廚房增建。,2,龍華段二小段,69,第五種住宅區,,,145.59,無建物主要用途資料,鋼筋混凝土造,3,741120,35,一層;二層;三層;,,,中華一路131巷16號,鼓山區,龍華段二小段,7610009,1920000,0304.其他增建,1100701
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"8,360,000",,,,有,1100529,,2,青海段,12.55,特定第四種商業區,,,131.34,住家用,鋼筋混凝土造,13,930510,17,十一層;,0,17.82,美術北一街63號十一樓,鼓山區,青海段,1490000,1822000,,1100701
買賣,房地(土地+建物),1,1,,3,1,2,有,透天厝,"7,000,000",,,,無,1100503,,2,內惟段三小段,70,第五種住宅區,,,87.02,無建物主要用途資料,加強磚造,2,671104,42,一層;二層;,,,建榮路127巷1號,鼓山區,內惟段三小段,3860000,342000,0201.親友、員工、共有人或其他特殊關係間之交易0305.未登記建物,1100701
買賣,房地(土地+建物),1,1,,2,2,1,有,住宅大樓(11層含以上有電梯),"6,350,000",,,,有,1100606,,2,青海段,8.73,特定第四種商業區,,,87.63,住家用,鋼筋混凝土造,15,950825,15,十二層;,,,美術東四路313號十二樓,鼓山區,青海段,2150000,7103000,,1100701
買賣,房地(土地+建物),2,1,,3,3,4,有,透天厝,"4,500,000",,,,無,1100514,,2,鼓南段三小段,85,第二種商業區,,,309.63,無建物主要用途資料,鋼筋混凝土造,4,690507,41,一層;二層;三層;四層;騎樓;地下層;,,,麗雄街12號,鼓山區,鼓南段三小段,2110000,167000,0201.親友、員工、共有人或其他特殊關係間之交易,1100701
買賣,房地(土地+建物),1,1,,3,2,2,有,公寓(5樓含以下無電梯),"3,500,000",,,,無,1100522,,2,龍華段一小段,26.76,第三種住宅區,,,94.67,無建物主要用途資料,鋼筋混凝土造,5,721231,37,三層;,,,裕興路37巷1弄7號三樓之1,鼓山區,龍華段一小段,2560000,1430000,,1100701
