申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明
買賣,房地(土地+建物),5,3,,6,2,3,有,透天厝,"76,680,000",,,,無,1110317,,鹽埕區,興橋段,286,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,526.4,無建物主要用途資料,見使用執照,2,410331,70,一層;二層;,,,新樂街242巷12號,鹽埕區,興橋段,3540000,220000,
買賣,房地(土地+建物),4,2,,4,4,1,有,透天厝,"48,600,000",,,,無,1110531,本件買賣總價為新台幣4860萬元整，其中拆分大仁路118號為：為新台幣2375萬元整，大仁路120號為新台幣2485萬元整。,鹽埕區,鹽中段,219,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,303.25,無建物主要用途資料,見使用執照,2,1904,92,一層;二層;騎樓;,,,大仁路120號,鹽埕區,鹽中段,8870000,372000,0302.頂樓加蓋0304.其他增建
買賣,房地(土地+建物),1,1,,7,2,4,有,透天厝,"30,160,000",,,,無,1110630,,鹽埕區,大智段,108,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,375.97,住商用,加強磚造,4,400430,71,一層;二層;三層;四層;騎樓;,,,大仁路17號,鹽埕區,大智段,1620003,2186000,0304.其他增建1001.交易含多筆土地，有個別交易價格，本申報書申報之地號1101.交易標的含多棟(戶)建物，有個別交易價格，本申報書申報之主建號
買賣,房地(土地+建物),5,1,,5,2,4,有,透天厝,"24,500,000",,,,無,1110619,,鹽埕區,鹽國段,123.46,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,422.68,無建物主要用途資料,鋼筋混凝土造,4,630404,48,一層;二層;三層;四層;騎樓;,,,瀨南街170號,鹽埕區,鹽國段,2090000,430000,
買賣,房地(土地+建物),3,1,,9,2,3,有,透天厝,"23,800,000",,,,無,1110715,,鹽埕區,大智段,68,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,424.16,無建物主要用途資料,鋼筋混凝土造,7,680918,43,一層;二層;三層;四層;五層;六層;七層;地下層;,,,五福四路14號,鹽埕區,大智段,9090000,1981000,0302.頂樓加蓋
買賣,土地,2,0,,,,,有,,"22,340,000",,,,無,1110630,,鹽埕區,大智段,80,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,,無建物主要用途資料,無建物主要建材,,,,,,,大智段 162-2 地號,鹽埕區,大智段,1620002,,0305.未登記建物1001.交易含多筆土地，有個別交易價格，本申報書申報之地號1001.交易含多筆土地，有個別交易價格，本申報書申報之地號
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"19,500,000",,,,有,1110613,,鹽埕區,興仁段,16.26,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,194.56,見其他登記事項,見其他登記事項,15,1070830,4,十一層;,0,19.11,建國四路158號十一樓之3,鹽埕區,興仁段,5630000,915000,
買賣,房地(土地+建物),1,1,,,,,無,透天厝,"19,000,000",,,,無,1110822,,鹽埕區,鹽壽段,87,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,146.41,無建物主要用途資料,見使用執照,2,270110,85,一層;二層;騎樓;,,,北斗街21號,鹽埕區,鹽壽段,2920000,255000,0201.親友、員工、共有人或其他特殊關係間之交易
買賣,房地(土地+建物),2,1,,4,1,5,有,透天厝,"15,500,000",,,,無,1110822,,鹽埕區,鹽壽段,29,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,232.49,住商用,鋼筋混凝土造,5,830620,28,一層;二層;三層;四層;五層;騎樓;,,,河西路190號,鹽埕區,鹽壽段,1990000,1157000,0201.親友、員工、共有人或其他特殊關係間之交易
買賣,土地,2,0,,,,,有,,"14,600,000",,,,無,1110322,,鹽埕區,鹽北段,166.81,其他-第四種住宅區,無使用分區資料,無土地編定使用地類別資料,,無建物主要用途資料,無建物主要建材,,,,,,,鹽北段 380-2 地號,鹽埕區,鹽北段,3800002,,0401.未登記建物
買賣,房地(土地+建物)+車位,1,1,3,3,3,1,有,住宅大樓(11層含以上有電梯),"13,800,000",,,,有,1110502,本標的目前面七賢路全部窗框下方牆壁、樓梯牆壁邊有滲漏水情形，買方同意自行修復並負擔修繕所需費用，免除賣方上述滲漏水處理瑕疵擔保責任。,鹽埕區,鹽中段,21.91,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,231.2,住商用,鋼筋混凝土造,13,890824,22,一層;二層;騎樓;,0,22.95,七賢三路196號,鹽埕區,鹽中段,3840000,505000,0304.其他增建
