申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明,備註欄
買賣,房地(土地+建物),2,1,,11,1,9,有,透天厝,"30,000,000",,,,有,1120819,86.40,其他-第四種商業區,,,361.21,住家用,鋼筋混凝土造,一層;二層;三層;四層;五層;屋頂突出物;騎樓;,1020805,10,一層;二層;三層;四層;五層;屋頂突出物;騎樓;,,,高雄市鹽埕區新興街４６號,鹽埕區,興福段,00170000,01322000,0301.陽台外推0302.頂樓加蓋0304.其他增建,
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"19,980,000",,,,有,1121124,10.09,其他-第四種商業區,,,78.24,見其他登記事項,見其他登記事項,十八層;,1120418,1,十八層;,0,27.83,高雄市鹽埕區七賢二路４６０號十八樓之３,鹽埕區,鹽府段,01960000,00534000,,
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"18,800,000",,,,有,1121029,10.09,其他-第四種商業區,,,78.24,見其他登記事項,見其他登記事項,十七層;,1120418,1,十七層;,0,27.83,高雄市鹽埕區七賢二路４６０號十七樓之３,鹽埕區,鹽府段,01960000,00533000,,
買賣,房地(土地+建物),3,1,,4,3,4,有,透天厝,"18,300,000",,,,無,1120729,104.85,其他-第四種住宅區,,,184.94,住家用,鋼筋混凝土造,一層;二層;三層;四層;屋頂突出物;見其它登記事項;,0960126,17,一層;二層;三層;四層;屋頂突出物;見其它登記事項;,,,高雄市鹽埕區大安街８７巷２６號,鹽埕區,興福段,02570042,01295000,,
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"18,300,000",,,"1,700,000",有,1121020,10.09,其他-第四種商業區,,,78.24,見其他登記事項,見其他登記事項,十五層;,1120418,1,十五層;,"1,700,000",27.83,高雄市鹽埕區七賢二路４６０號十五樓之３,鹽埕區,鹽府段,01960000,00531000,,
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"17,580,000",,,"2,300,000",有,1091025,12.70,其他-第四種商業區,,,102.22,見其他登記事項,見其他登記事項,二十九層;,1120418,0,二十九層;,"2,300,000",27.83,高雄市鹽埕區七賢二路４６０號二十九樓之２,鹽埕區,鹽府段,01960000,00519000,0901.預售屋、或土地及建物分件登記案件,
買賣,房地(土地+建物),3,1,,,,,無,透天厝,"16,000,000",,,,無,1120731,189.00,其他-第四種商業區,,,368.12,無建物主要用途資料,磚造,一層;二層;三層;騎樓;,0341020,78,一層;二層;三層;騎樓;,,,高雄市鹽埕區大仁路１４８號,鹽埕區,鹽中段,05400000,00013000,0201.親友、員工、共有人或其他特殊關係間之交易,
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"14,880,000",,,"2,000,000",有,1121002,15.71,其他-第三種商業區,,,96.74,住家用,鋼筋混凝土造,六層;,0960103,17,六層;,"2,000,000",16.56,高雄市鹽埕區七賢三路１號六樓之６,鹽埕區,興福段,05660000,01146000,,
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"14,300,000",,,,有,1121104,13.22,其他-第三種商業區,,,82.14,住家用,鋼筋混凝土造,十一層;,0960103,17,十一層;,0,6.66,高雄市鹽埕區七賢三路１號十一樓之５,鹽埕區,興福段,05660000,01205000,0102.傢俱設備費,
買賣,房地(土地+建物),2,1,,3,2,2,有,透天厝,"13,980,000",,,,無,1121117,102.00,其他-第五種商業區,,,93.30,無建物主要用途資料,見使用執照,一層;二層;騎樓;,01907,93,一層;二層;騎樓;,,,高雄市鹽埕區新興街１７６號,鹽埕區,興仁段,00390000,00396000,0304.其他增建,壹樓/法定空地增建
